Date,AAPL,TSLA
2020-06-25,88.77869415283203,65.73200225830078
2020-06-26,86.05088806152344,63.982666015625
2020-06-29,88.0340805053711,67.29000091552734
2020-06-30,88.76895141601562,71.98733520507812
2020-07-01,88.60105895996094,74.64199829101562
2020-07-02,88.60105895996094,80.57733154296875
2020-07-06,90.97114562988281,91.43866729736328
2020-07-07,90.68888092041016,92.65733337402344
2020-07-08,92.80103302001953,91.05867004394531
2020-07-09,93.20010375976562,92.9520034790039
2020-07-10,93.36312103271484,102.97666931152344
2020-07-13,92.93243408203125,99.80400085449219
2020-07-14,94.47032165527344,101.12000274658203
2020-07-15,95.1200180053711,103.06732940673828
2020-07-16,93.94956970214844,100.04266357421875
2020-07-17,93.759765625,100.05599975585938
2020-07-20,95.73566436767578,109.53333282470703
2020-07-21,94.41435241699219,104.55733489990234
